"cap_int_pfk";"cam_info_adici_consumo";"int_tsu_cd"
"173123";"Nenhum Outro Uso";"Subterrânea"
"173124";"Nenhum Outro Uso";"Subterrânea"
"173125";"Nenhum Outro Uso";"Subterrânea"
"173126";"Nenhum Outro Uso";"Subterrânea"
"173127";"Consumo Humano";"Subterrânea"
"173128";"Consumo Humano";"Subterrânea"
"173129";"Consumo Humano";"Subterrânea"
"173130";"Consumo Humano";"Subterrânea"
"173131";"Nenhum Outro Uso";"Subterrânea"
"173132";"Nenhum Outro Uso";"Subterrânea"
"173133";"Nenhum Outro Uso";"Subterrânea"
"173134";"Nenhum Outro Uso";"Subterrânea"
"173135";"Nenhum Outro Uso";"Subterrânea"
"173136";"Nenhum Outro Uso";"Subterrânea"
"173137";"Consumo Humano/Nenhum Outro Uso";"Subterrânea"
"173138";"Consumo Humano";"Subterrânea"
"173139";"Nenhum Outro Uso";"Subterrânea"
"173140";"Nenhum Outro Uso";"Subterrânea"
"173141";"Nenhum Outro Uso";"Subterrânea"
"173142";"Nenhum Outro Uso";"Subterrânea"
"173143";"Nenhum Outro Uso";"Subterrânea"
"173144";"Nenhum Outro Uso";"Subterrânea"
"173145";"Nenhum Outro Uso";"Subterrânea"
"173146";"Nenhum Outro Uso";"Subterrânea"
"173147";"Consumo Humano";"Subterrânea"
"173148";"Consumo Humano";"Subterrânea"
"173149";"Consumo Humano";"Subterrânea"
"173150";"Consumo Humano";"Subterrânea"
"173151";"Consumo Humano";"Subterrânea"
"173152";"Consumo Humano";"Subterrânea"
"173153";"Consumo Humano";"Subterrânea"
"173154";"Consumo Humano/Pecuária";"Subterrânea"
"173155";"Pecuária";"Subterrânea"
"173156";"Pecuária";"Subterrânea"
"173157";"Pecuária";"Subterrânea"
"173158";"Consumo Humano/Pecuária";"Subterrânea"
"173159";"Pecuária";"Subterrânea"
"173160";"Nenhum Outro Uso";"Subterrânea"
"173161";"Nenhum Outro Uso";"Subterrânea"
"173162";"Nenhum Outro Uso";"Subterrânea"
"173163";"Pecuária";"Subterrânea"
"173164";"Pecuária";"Subterrânea"
"173165";"Consumo Humano";"Subterrânea"
"173166";"Nenhum Outro Uso";"Subterrânea"
"173167";"Pecuária";"Subterrânea"
"173168";"Pecuária";"Subterrânea"
"173169";"Nenhum Outro Uso";"Subterrânea"
"173170";"Consumo Humano";"Subterrânea"
"173171";"Pecuária";"Subterrânea"
"173172";"Pecuária";"Subterrânea"
"173173";"Nenhum Outro Uso";"Subterrânea"
"173174";"Nenhum Outro Uso";"Subterrânea"
"173175";"Nenhum Outro Uso";"Subterrânea"
"173176";"Nenhum Outro Uso";"Subterrânea"
"173177";"Nenhum Outro Uso";"Subterrânea"
"173178";"Nenhum Outro Uso";"Subterrânea"
"173179";"Nenhum Outro Uso";"Subterrânea"
"173180";"Nenhum Outro Uso";"Subterrânea"
"173181";"Nenhum Outro Uso";"Subterrânea"
"173182";"Pecuária";"Subterrânea"
"173183";"Nenhum Outro Uso";"Subterrânea"
"173184";"Nenhum Outro Uso";"Subterrânea"
"173185";"Nenhum Outro Uso";"Subterrânea"
"173186";"Nenhum Outro Uso";"Subterrânea"
"173187";"Consumo Humano";"Subterrânea"
"173188";"Consumo Humano/Pecuária";"Subterrânea"
"173189";"Pecuária";"Subterrânea"
"173190";"Consumo Humano/Pecuária";"Subterrânea"
"173191";"Consumo Humano";"Subterrânea"
"173192";"Consumo Humano/Pecuária";"Subterrânea"
"173193";"Consumo Humano/Pecuária";"Subterrânea"
"173194";"Consumo Humano/Pecuária";"Subterrânea"
"173195";"Consumo Humano/Pecuária";"Subterrânea"
"173196";"Consumo Humano";"Subterrânea"
"173197";"Pecuária";"Subterrânea"
"173198";"Consumo Humano";"Subterrânea"
"173199";"Pecuária";"Subterrânea"
"173200";"Pecuária";"Subterrânea"
"173201";"Consumo Humano";"Subterrânea"
"173202";"Consumo Humano";"Subterrânea"
"173203";"Pecuária";"Subterrânea"
"173204";"Consumo Humano/Pecuária";"Subterrânea"
"173205";"Nenhum Outro Uso";"Subterrânea"
"173206";"Nenhum Outro Uso";"Subterrânea"
"173207";"Consumo Humano";"Subterrânea"
"173208";"Pecuária";"Subterrânea"
"173209";"Consumo Humano";"Subterrânea"
"173210";"Pecuária";"Subterrânea"
"173211";"Nenhum Outro Uso";"Subterrânea"
"173212";"Nenhum Outro Uso";"Subterrânea"
"173213";"Nenhum Outro Uso";"Subterrânea"
"173214";"Nenhum Outro Uso";"Subterrânea"
"173215";"Pecuária";"Subterrânea"
"173216";"Nenhum Outro Uso";"Subterrânea"
"173217";"Consumo Humano";"Subterrânea"
"173218";"Nenhum Outro Uso";"Subterrânea"
"173219";"Nenhum Outro Uso";"Subterrânea"
"173220";"Nenhum Outro Uso";"Subterrânea"
"173221";"Nenhum Outro Uso";"Subterrânea"
"173222";"Nenhum Outro Uso";"Subterrânea"
"173223";"Nenhum Outro Uso";"Subterrânea"
"173224";"Nenhum Outro Uso";"Subterrânea"
"173225";"Nenhum Outro Uso";"Subterrânea"
"173226";"Nenhum Outro Uso";"Subterrânea"
"173227";"Nenhum Outro Uso";"Subterrânea"
"173228";"Nenhum Outro Uso";"Subterrânea"
"173229";"Consumo Humano";"Subterrânea"
"173230";"Consumo Humano";"Subterrânea"
"173231";"Consumo Humano";"Subterrânea"
"173232";"Consumo Humano/Pecuária";"Subterrânea"
"173233";"Nenhum Outro Uso";"Subterrânea"
"173234";"Consumo Humano/Pecuária";"Subterrânea"
"173235";"Nenhum Outro Uso";"Subterrânea"
"173236";"Nenhum Outro Uso";"Subterrânea"
"173237";"Nenhum Outro Uso";"Subterrânea"
"173238";"Pecuária";"Subterrânea"
"173239";"Nenhum Outro Uso";"Subterrânea"
"173240";"Nenhum Outro Uso";"Subterrânea"
"173241";"Nenhum Outro Uso";"Subterrânea"
"173242";"Nenhum Outro Uso";"Subterrânea"
"173243";"Nenhum Outro Uso";"Subterrânea"
"173244";"Pecuária";"Subterrânea"
"173245";"Pecuária";"Subterrânea"
"173246";"Nenhum Outro Uso";"Subterrânea"
"173247";"Nenhum Outro Uso";"Subterrânea"
"173248";"Nenhum Outro Uso";"Subterrânea"
"173249";"Nenhum Outro Uso";"Subterrânea"
"173250";"Nenhum Outro Uso";"Subterrânea"
"173251";"Nenhum Outro Uso";"Subterrânea"
"173252";"Nenhum Outro Uso";"Subterrânea"
"173253";"Consumo Humano";"Subterrânea"
"173254";"Consumo Humano/Pecuária";"Subterrânea"
"173255";"Nenhum Outro Uso";"Subterrânea"
"173256";"Nenhum Outro Uso";"Subterrânea"
"173257";"Nenhum Outro Uso";"Subterrânea"
"173258";"Consumo Humano/Pecuária";"Subterrânea"
"173259";"Pecuária";"Subterrânea"
"173260";"Nenhum Outro Uso";"Subterrânea"
"173261";"Nenhum Outro Uso";"Subterrânea"
"173262";"Nenhum Outro Uso";"Subterrânea"
"173263";"Nenhum Outro Uso";"Subterrânea"
"173264";"Nenhum Outro Uso";"Subterrânea"
"173265";"Nenhum Outro Uso";"Subterrânea"
"173266";"Nenhum Outro Uso";"Subterrânea"
"173267";"Nenhum Outro Uso";"Subterrânea"
"173268";"Nenhum Outro Uso";"Subterrânea"
"173269";"Nenhum Outro Uso";"Subterrânea"
"173270";"Nenhum Outro Uso";"Subterrânea"
"173271";"Consumo Humano/Pecuária";"Subterrânea"
"173272";"Consumo Humano/Pecuária";"Subterrânea"
"173273";"Consumo Humano";"Subterrânea"
"173274";"Pecuária";"Subterrânea"
"173275";"Consumo Humano";"Subterrânea"
"173276";"Consumo Humano/Pecuária";"Subterrânea"
"173277";"Consumo Humano/Pecuária";"Subterrânea"
"173278";"Consumo Humano";"Subterrânea"
"173279";"Consumo Humano";"Subterrânea"
"173280";"Pecuária";"Subterrânea"
"173281";"Consumo Humano/Pecuária";"Subterrânea"
"173282";"Consumo Humano";"Subterrânea"
"173283";"Nenhum Outro Uso";"Subterrânea"
"173284";"Nenhum Outro Uso";"Subterrânea"
"173285";"Consumo Humano";"Subterrânea"
"173286";"Nenhum Outro Uso";"Subterrânea"
"173287";"Nenhum Outro Uso";"Subterrânea"
"173288";"Nenhum Outro Uso";"Subterrânea"
"173289";"Consumo Humano";"Subterrânea"
"173290";"Consumo Humano";"Subterrânea"
"173291";"Nenhum Outro Uso";"Subterrânea"
"173292";"Nenhum Outro Uso";"Subterrânea"
"173293";"Nenhum Outro Uso";"Subterrânea"
"173294";"Nenhum Outro Uso";"Subterrânea"
"173295";"Nenhum Outro Uso";"Subterrânea"
"173296";"Nenhum Outro Uso";"Subterrânea"
"173297";"Nenhum Outro Uso";"Subterrânea"
"173298";"Nenhum Outro Uso";"Subterrânea"
"173299";"Nenhum Outro Uso";"Subterrânea"
"173300";"Pecuária";"Subterrânea"
"173301";"Consumo Humano";"Subterrânea"
"173302";"Consumo Humano";"Subterrânea"
"173303";"Consumo Humano";"Subterrânea"
"173304";"Consumo Humano";"Subterrânea"
"173305";"Consumo Humano";"Subterrânea"
"173306";"Consumo Humano";"Subterrânea"
"173307";"Consumo Humano";"Subterrânea"
"173308";"Consumo Humano";"Subterrânea"
"173309";"Consumo Humano";"Subterrânea"
"173310";"Consumo Humano";"Subterrânea"
"173311";"Consumo Humano/Pecuária";"Subterrânea"
"173312";"Nenhum Outro Uso";"Subterrânea"
"173313";"Nenhum Outro Uso";"Subterrânea"
"173314";"Nenhum Outro Uso";"Subterrânea"
"173315";"Nenhum Outro Uso";"Subterrânea"
"173316";"Nenhum Outro Uso";"Subterrânea"
"173317";"Nenhum Outro Uso";"Subterrânea"
"173318";"Nenhum Outro Uso";"Subterrânea"
"173319";"Nenhum Outro Uso";"Subterrânea"
"173320";"Pecuária";"Subterrânea"
"173321";"Nenhum Outro Uso";"Subterrânea"
"173322";"Pecuária";"Subterrânea"
"173323";"Nenhum Outro Uso";"Subterrânea"
"173324";"Nenhum Outro Uso";"Subterrânea"
"173325";"Nenhum Outro Uso";"Subterrânea"
"173326";"Nenhum Outro Uso";"Subterrânea"
"173327";"Consumo Humano/Pecuária";"Subterrânea"
"173328";"Nenhum Outro Uso";"Subterrânea"
"173329";"Consumo Humano/Pecuária";"Subterrânea"
"173330";"Consumo Humano/Pecuária";"Subterrânea"
"173331";"Consumo Humano";"Subterrânea"
"173332";"Consumo Humano/Pecuária";"Subterrânea"
"173333";"Consumo Humano";"Subterrânea"
"173334";"Consumo Humano";"Subterrânea"
"173335";"Consumo Humano";"Subterrânea"
"173336";"Consumo Humano";"Subterrânea"
"173337";"Consumo Humano";"Subterrânea"
"173338";"Consumo Humano";"Subterrânea"
"173339";"Nenhum Outro Uso";"Subterrânea"
"173340";"Nenhum Outro Uso";"Subterrânea"
"173341";"Nenhum Outro Uso";"Subterrânea"
"173342";"Consumo Humano";"Subterrânea"
"173343";"Pecuária";"Subterrânea"
"173344";"Consumo Humano";"Subterrânea"
"173345";"Consumo Humano";"Subterrânea"
"173346";"Nenhum Outro Uso";"Subterrânea"
"173347";"Nenhum Outro Uso";"Subterrânea"
"173348";"Consumo Humano";"Subterrânea"
"173349";"Nenhum Outro Uso";"Subterrânea"
"173350";"Nenhum Outro Uso";"Subterrânea"
"173351";"Nenhum Outro Uso";"Subterrânea"
"173352";"Nenhum Outro Uso";"Subterrânea"
"173353";"Nenhum Outro Uso";"Subterrânea"
"173354";"Nenhum Outro Uso";"Subterrânea"
"173355";"Pecuária";"Subterrânea"
"173356";"Nenhum Outro Uso";"Subterrânea"
"173357";"Nenhum Outro Uso";"Subterrânea"
"173358";"Nenhum Outro Uso";"Subterrânea"
"173359";"Nenhum Outro Uso";"Subterrânea"
