"pec_int_pfk";"cam_qt_equideo";"cam_qt_bovino";"cam_qt_ovino";"cam_qt_caprino";"cam_qt_suino";"cam_qt_ave";"cam_pec_outro";"cam_qt_outro"
"173250";"";"";"";"";"";"";"";""
"173251";"";"";"";"";"";"";"";""
"173252";"";"";"";"";"";"";"";""
"173253";"";"";"";"";"";"";"";""
"173254";"4";"60";"50";"0";"60";"30";"";""
"173255";"";"";"";"";"";"";"";""
"173257";"";"";"";"";"";"";"";""
"173260";"";"";"";"";"";"";"";""
"173261";"";"";"";"";"";"";"";""
"173262";"";"";"";"";"";"";"";""
"173263";"";"";"";"";"";"";"";""
"173264";"";"";"";"";"";"";"";""
"173265";"";"";"";"";"";"";"";""
"173266";"";"";"";"";"";"";"";""
"173267";"";"";"";"";"";"";"";""
"173268";"";"";"";"";"";"";"";""
"173269";"";"";"";"";"";"";"";""
"173270";"";"";"";"";"";"";"";""
"173271";"0";"0";"0";"0";"0";"30";"";""
"173272";"0";"0";"10";"0";"0";"10";"";""
"173273";"";"";"";"";"";"";"";""
"173274";"0";"10";"0";"0";"0";"0";"";""
"173276";"0";"0";"3";"5";"0";"15";"";""
"173277";"0";"0";"14";"5";"0";"20";"";""
"173278";"";"";"";"";"";"";"";""
"173279";"";"";"";"";"";"";"";""
"173282";"";"";"";"";"";"";"";""
"173283";"";"";"";"";"";"";"";""
"173284";"";"";"";"";"";"";"";""
"173286";"";"";"";"";"";"";"";""
"173287";"";"";"";"";"";"";"";""
"173288";"";"";"";"";"";"";"";""
"173291";"";"";"";"";"";"";"";""
"173293";"";"";"";"";"";"";"";""
"173294";"";"";"";"";"";"";"";""
"173295";"";"";"";"";"";"";"";""
"173296";"";"";"";"";"";"";"";""
"173297";"";"";"";"";"";"";"";""
"173298";"";"";"";"";"";"";"";""
"173299";"";"";"";"";"";"";"";""
"173300";"0";"0";"0";"0";"0";"32";"";""
"173301";"";"";"";"";"";"";"";""
"173305";"";"";"";"";"";"";"";""
"173306";"";"";"";"";"";"";"";""
"173307";"";"";"";"";"";"";"";""
"173308";"";"";"";"";"";"";"";""
"173309";"";"";"";"";"";"";"";""
"173311";"1";"0";"0";"3";"0";"16";"";""
"173312";"";"";"";"";"";"";"";""
"173313";"";"";"";"";"";"";"";""
"173314";"";"";"";"";"";"";"";""
"173315";"";"";"";"";"";"";"";""
"173316";"";"";"";"";"";"";"";""
"173317";"";"";"";"";"";"";"";""
"173318";"";"";"";"";"";"";"";""
"173319";"";"";"";"";"";"";"";""
"173320";"0";"5";"0";"0";"0";"0";"";""
"173321";"";"";"";"";"";"";"";""
"173322";"0";"0";"0";"0";"0";"20";"";""
"173323";"";"";"";"";"";"";"";""
"173324";"";"";"";"";"";"";"";""
"173325";"";"";"";"";"";"";"";""
"173326";"";"";"";"";"";"";"";""
"173327";"0";"0";"0";"0";"0";"70";"";""
"173328";"";"";"";"";"";"";"";""
"173329";"1";"2";"0";"0";"0";"15";"";""
"173330";"2";"14";"0";"0";"0";"0";"";""
"173331";"";"";"";"";"";"";"";""
"173332";"0";"0";"2";"0";"0";"0";"";""
"173333";"";"";"";"";"";"";"";""
"173334";"";"";"";"";"";"";"";""
"173338";"";"";"";"";"";"";"";""
"173339";"";"";"";"";"";"";"";""
"173340";"";"";"";"";"";"";"";""
"173341";"";"";"";"";"";"";"";""
"173342";"";"";"";"";"";"";"";""
"173343";"0";"0";"0";"0";"15";"10";"";""
"173346";"";"";"";"";"";"";"";""
"173347";"";"";"";"";"";"";"";""
"173349";"";"";"";"";"";"";"";""
"173350";"";"";"";"";"";"";"";""
"173351";"";"";"";"";"";"";"";""
"173352";"";"";"";"";"";"";"";""
"173353";"";"";"";"";"";"";"";""
"173354";"";"";"";"";"";"";"";""
"173355";"1";"4";"0";"0";"0";"0";"";""
"173356";"";"";"";"";"";"";"";""
"173357";"";"";"";"";"";"";"";""
"173358";"";"";"";"";"";"";"";""
"173359";"";"";"";"";"";"";"";""
"173360";"";"";"";"";"";"";"";""
"173361";"";"";"";"";"";"";"";""
"173363";"";"";"";"";"";"";"";""
"173364";"";"";"";"";"";"";"";""
"173365";"";"";"";"";"";"";"";""
"173366";"";"";"";"";"";"";"";""
"173367";"";"";"";"";"";"";"";""
"173368";"";"";"";"";"";"";"";""
"173369";"";"";"";"";"";"";"";""
"173370";"";"";"";"";"";"";"";""
"173371";"0";"4";"0";"0";"0";"15";"";""
"173372";"2";"2";"0";"0";"0";"20";"";""
"173374";"0";"4";"0";"0";"0";"17";"";""
"173375";"0";"0";"0";"0";"0";"25";"";""
"173376";"";"";"";"";"";"";"";""
"173377";"";"";"";"";"";"";"";""
"173378";"";"";"";"";"";"";"";""
"173379";"";"";"";"";"";"";"";""
"173380";"";"";"";"";"";"";"";""
"173383";"";"";"";"";"";"";"";""
"173384";"";"";"";"";"";"";"";""
"173385";"";"";"";"";"";"";"";""
"173386";"";"";"";"";"";"";"";""
"173388";"";"";"";"";"";"";"";""
"173389";"";"";"";"";"";"";"";""
"173391";"0";"0";"0";"0";"5";"0";"";""
"173392";"";"";"";"";"";"";"";""
"173393";"";"";"";"";"";"";"";""
"173394";"";"";"";"";"";"";"";""
"173395";"";"";"";"";"";"";"";""
"173396";"";"";"";"";"";"";"";""
"173397";"";"";"";"";"";"";"";""
"173398";"";"";"";"";"";"";"";""
"173399";"";"";"";"";"";"";"";""
"173401";"";"";"";"";"";"";"";""
"173402";"";"";"";"";"";"";"";""
"173403";"5";"20";"0";"0";"10";"35";"";""
"173404";"";"";"";"";"";"";"";""
"173405";"";"";"";"";"";"";"";""
"173406";"";"";"";"";"";"";"";""
"173408";"";"";"";"";"";"";"";""
"173409";"";"";"";"";"";"";"";""
"173410";"";"";"";"";"";"";"";""
"173413";"4";"12";"0";"0";"0";"20";"";""
"173416";"";"";"";"";"";"";"";""
"173417";"1";"3";"0";"0";"0";"0";"";""
"173418";"1";"15";"0";"0";"8";"0";"";""
"173419";"";"";"";"";"";"";"";""
"173420";"0";"5";"0";"0";"0";"4";"";""
"173421";"";"";"";"";"";"";"";""
"173422";"";"";"";"";"";"";"";""
"173423";"";"";"";"";"";"";"";""
"173424";"";"";"";"";"";"";"";""
"173426";"";"";"";"";"";"";"";""
"173427";"";"";"";"";"";"";"";""
"173428";"1";"10";"0";"3";"0";"15";"";""
"173429";"";"";"";"";"";"";"";""
"173430";"";"";"";"";"";"";"";""
"173431";"";"";"";"";"";"";"";""
"173432";"";"";"";"";"";"";"";""
"173433";"";"";"";"";"";"";"";""
"173434";"";"";"";"";"";"";"";""
"173435";"";"";"";"";"";"";"";""
"173436";"";"";"";"";"";"";"";""
"173437";"";"";"";"";"";"";"";""
"173438";"";"";"";"";"";"";"";""
"173439";"";"";"";"";"";"";"";""
"173440";"";"";"";"";"";"";"";""
"173441";"";"";"";"";"";"";"";""
"173442";"";"";"";"";"";"";"";""
"173443";"";"";"";"";"";"";"";""
"173444";"";"";"";"";"";"";"";""
"173445";"";"";"";"";"";"";"";""
"173446";"";"";"";"";"";"";"";""
"173447";"8";"1";"0";"1";"0";"0";"";""
"173448";"";"";"";"";"";"";"";""
"173449";"";"";"";"";"";"";"";""
"173450";"0";"2";"0";"0";"0";"0";"";""
"173451";"4";"58";"0";"0";"0";"0";"";""
"173452";"";"";"";"";"";"";"";""
"173453";"";"";"";"";"";"";"";""
"173454";"";"";"";"";"";"";"";""
"173455";"2";"2";"0";"0";"2";"15";"";""
"173456";"";"";"";"";"";"";"";""
"173457";"2";"0";"0";"0";"5";"19";"";""
"173458";"";"";"";"";"";"";"";""
"173459";"";"";"";"";"";"";"";""
"173460";"";"";"";"";"";"";"";""
"173461";"";"";"";"";"";"";"";""
"173462";"";"";"";"";"";"";"";""
"173463";"";"";"";"";"";"";"";""
"173464";"";"";"";"";"";"";"";""
"173465";"0";"2";"0";"0";"0";"10";"";""
"173467";"0";"4";"0";"0";"0";"0";"";""
"173468";"";"";"";"";"";"";"";""
"173469";"";"";"";"";"";"";"";""
"173470";"";"";"";"";"";"";"";""
"173471";"";"";"";"";"";"";"";""
"173472";"";"";"";"";"";"";"";""
"173473";"";"";"";"";"";"";"";""
"173474";"";"";"";"";"";"";"";""
"173475";"";"";"";"";"";"";"";""
"173476";"";"";"";"";"";"";"";""
"173477";"";"";"";"";"";"";"";""
"173478";"";"";"";"";"";"";"";""
"173479";"";"";"";"";"";"";"";""
"173480";"";"";"";"";"";"";"";""
"173481";"";"";"";"";"";"";"";""
"173482";"";"";"";"";"";"";"";""
"173483";"";"";"";"";"";"";"";""
"173484";"";"";"";"";"";"";"";""
"173485";"";"";"";"";"";"";"";""
"173486";"";"";"";"";"";"";"";""
"173487";"";"";"";"";"";"";"";""
"173490";"";"";"";"";"";"";"";""
"173491";"";"";"";"";"";"";"";""
"173492";"";"";"";"";"";"";"";""
"173493";"1";"12";"6";"0";"15";"25";"";""
"173494";"3";"7";"8";"0";"0";"0";"";""
"173495";"";"";"";"";"";"";"";""
"173496";"";"";"";"";"";"";"";""
"173497";"0";"0";"0";"9";"0";"0";"";""
"173499";"";"";"";"";"";"";"";""
"173501";"";"";"";"";"";"";"";""
"173503";"";"";"";"";"";"";"";""
"173506";"";"";"";"";"";"";"";""
"173507";"";"";"";"";"";"";"";""
"173508";"";"";"";"";"";"";"";""
"173509";"";"";"";"";"";"";"";""
"173510";"";"";"";"";"";"";"";""
"173511";"";"";"";"";"";"";"";""
"173512";"";"";"";"";"";"";"";""
"173513";"";"";"";"";"";"";"";""
"173514";"";"";"";"";"";"";"";""
"173515";"";"";"";"";"";"";"";""
"173519";"";"";"";"";"";"";"";""
"173520";"";"";"";"";"";"";"";""
"173521";"";"";"";"";"";"";"";""
"173546";"4";"15";"15";"0";"0";"50";"";""
"173547";"";"";"";"";"";"";"";""
"173548";"";"";"";"";"";"";"";""
"173549";"";"";"";"";"";"";"";""
"173550";"";"";"";"";"";"";"";""
"173551";"";"";"";"";"";"";"";""
"173552";"";"";"";"";"";"";"";""
"173553";"";"";"";"";"";"";"";""
"173555";"";"";"";"";"";"";"";""
"173558";"";"";"";"";"";"";"";""
"173559";"80";"15";"0";"0";"0";"60";"";""
"173560";"";"";"";"";"";"";"";""
"173570";"";"";"";"";"";"";"";""
"173571";"";"";"";"";"";"";"";""
"173575";"";"";"";"";"";"";"";""
"173577";"";"";"";"";"";"";"";""
"173578";"";"";"";"";"";"";"";""
"173581";"";"";"";"";"";"";"";""
"173583";"";"";"";"";"";"";"";""
"173584";"";"";"";"";"";"";"";""
"173586";"";"";"";"";"";"";"";""
"173588";"";"";"";"";"";"";"";""
"173589";"";"";"";"";"";"";"";""
"173590";"";"";"";"";"";"";"";""
"173592";"";"";"";"";"";"";"";""
"173593";"";"";"";"";"";"";"";""
"173594";"";"";"";"";"";"";"";""
"173595";"0";"6";"0";"0";"5";"0";"";""
"173596";"0";"23";"0";"0";"0";"45";"";""
"173597";"";"";"";"";"";"";"";""
"173598";"";"";"";"";"";"";"";""
"173599";"";"";"";"";"";"";"";""
"173600";"12";"10";"15";"0";"2";"50";"";""
"173601";"";"";"";"";"";"";"";""
"173602";"";"";"";"";"";"";"";""
"173603";"";"";"";"";"";"";"";""
"173604";"";"";"";"";"";"";"";""
"173605";"";"";"";"";"";"";"";""
"173606";"";"";"";"";"";"";"";""
"173607";"";"";"";"";"";"";"";""
"173608";"";"";"";"";"";"";"";""
"173609";"";"";"";"";"";"";"";""
"173611";"";"";"";"";"";"";"";""
"173612";"";"";"";"";"";"";"";""
"173613";"";"";"";"";"";"";"";""
"173614";"";"";"";"";"";"";"";""
"173615";"";"";"";"";"";"";"";""
"173616";"";"";"";"";"";"";"";""
"173617";"";"";"";"";"";"";"";""
"173618";"";"";"";"";"";"";"";""
"173619";"";"";"";"";"";"";"";""
"173620";"";"";"";"";"";"";"";""
"173621";"";"";"";"";"";"";"";""
"173622";"";"";"";"";"";"";"";""
"173623";"";"";"";"";"";"";"";""
"173624";"";"";"";"";"";"";"";""
"173625";"";"";"";"";"";"";"";""
"173626";"";"";"";"";"";"";"";""
"173628";"";"";"";"";"";"";"";""
"173629";"";"";"";"";"";"";"";""
"173630";"";"";"";"";"";"";"";""
"173631";"";"";"";"";"";"";"";""
"173632";"";"";"";"";"";"";"";""
"173633";"";"";"";"";"";"";"";""
"173634";"";"";"";"";"";"";"";""
"173635";"0";"0";"0";"0";"70";"0";"";""
"173636";"";"";"";"";"";"";"";""
"173637";"";"";"";"";"";"";"";""
"173638";"";"";"";"";"";"";"";""
"173639";"";"";"";"";"";"";"";""
"173640";"";"";"";"";"";"";"";""
"173641";"";"";"";"";"";"";"";""
"173642";"";"";"";"";"";"";"";""
"173643";"";"";"";"";"";"";"";""
"173644";"";"";"";"";"";"";"";""
"173645";"";"";"";"";"";"";"";""
"173646";"";"";"";"";"";"";"";""
"173647";"0";"6";"0";"5";"0";"10";"";""
"173648";"0";"0";"0";"150";"0";"0";"";""
"173649";"";"";"";"";"";"";"";""
"173650";"";"";"";"";"";"";"";""
"173651";"";"";"";"";"";"";"";""
"173652";"";"";"";"";"";"";"";""
"173653";"";"";"";"";"";"";"";""
"173654";"";"";"";"";"";"";"";""
"173655";"8";"0";"0";"0";"0";"0";"";""
"173656";"4";"4";"8";"0";"0";"15";"";""
"173657";"10";"50";"0";"0";"0";"20";"";""
"173658";"";"";"";"";"";"";"";""
"173659";"";"";"";"";"";"";"";""
"173660";"7";"45";"20";"0";"0";"0";"";""
"173661";"7";"45";"20";"0";"0";"0";"";""
"173662";"7";"45";"20";"0";"0";"0";"";""
"173663";"";"";"";"";"";"";"";""
"173664";"";"";"";"";"";"";"";""
